Headlines,Time,Description
"UK to purge Huawei from 5G by end of 2027, siding with Trump over China",Jul 15 2020,"Prime Minister Boris Johnson ordered Huawei equipment to be purged completely from Britain's 5G network by the end of 2027, risking the ire of China by signalling that the world's biggest telecoms equipment maker is not welcome in the West."
New U.S. tariffs on China are unfortunate: EU trade chief,Sep 18 2018,"New U.S. tariffs on Chinese imports represent an unfortunate escalation of global trade tensions and are the wrong method to force Beijing to reform, the European Union's trade chief said on Tuesday."
"FTC requests AbbVie, Allergan for more information on $63 billion deal",Sep 27 2019,"The U.S. Federal Trade Commission (FTC) has requested for more information from AbbVie Inc  and botox maker Allergan Plc  on their $63 billion deal, the companies said on Friday."
Chinese sneeze could give Europe Inc. a nasty flu,Nov 30 2018,"With sluggish growth translating into the most disappointing earnings in years, European stocks are set for a tough ride if a full blown Sino-U.S. trade war erupts following Presidents Donald Trump and Xi Jinping's G20 dinner on Saturday."
"The $280,000 lab-grown burger could be a more palatable $10 in two years",Jul 10 2019,(This July 9 story corrects to change company name to Biotech Foods in paragraph five.)
"U.S. states probing Hyundai, Kia over vehicle fires: Connecticut AG",Mar 19 2019,"A group of U.S. states is investigating Hyundai Motor Co and Kia Motors Corp for potential unfair and deceptive acts related to reports of hundreds of vehicle fires, Connecticut Attorney General William Tong said on Monday."
Democrats seek probe of key FAA decisions on 737 MAX approval,Mar 19 2019,The chairman of the U.S. House of Representatives transportation committee and another key Democrat asked the Transportation Department's inspector general on Tuesday to examine key decisions made by the Federal Aviation Administration in certifying Boeing's 737 MAX jet for use.
"Oil drops to 13-month low on weak Chinese demand, traders eye OPEC+ cuts",Feb 10 2020,Oil prices fell to their lowest level since December 2018 on Monday on weaker Chinese demand in the wake of the coronavirus outbreak and as traders waited to see if Russia would join other producers in seeking further output cuts.
Swedish economic crimes authority carries out search at Swedbank headquarters,Mar 27 2019,"Sweden's Economic Crime Authority is carrying out a search at Swedbank's head office in relation to an ongoing investigation into whether the bank breached insider trading regulations, the authority said on Wednesday."
U.S. set to quickly widen trade war with EU tariffs after WTO ruling: sources,Oct 02 2019,"The United States' top trade body is likely to release a list of European goods subject to new tariffs Wednesday afternoon, after the World Trade Organization's landmark ruling on illegal aircraft subsidies, industry sources said."
Nissan to gradually withdraw from diesel vehicle market in Europe,May 07 2018,"Japanese carmaker Nissan will gradually stop selling diesel cars in Europe, in a further sign of weakening demand for those cars as customers worry about tax rises and looming bans and restrictions related to diesel in many countries."
H&M's brand COS to test clothing rentals in China with YCloset,Dec 06 2019,"H&M , the world's second-biggest fashion group, said on Friday its brand COS had teamed up with Chinese subscription rental platform YCloset to try renting out clothes in the country as environmentally conscious consumers rein in purchases."
"General Mills sales hit by low demand for Nature Valley, Fiber One bars",Jun 26 2019,"General Mills Inc's quarterly sales fell short of Wall Street estimates on Wednesday, hurt by lower demand for its Nature Valley and Fiber One snack bars, sending its shares down as much as 10%."
"Hasbro results dented by lingering Toys 'R' Us woes, shares drop",Oct 22 2018,"Toymaker Hasbro Inc  missed analysts' expectations for quarterly revenue and profit on Monday, as the demise of major retail partner Toys 'R' Us hurt sales in Europe and the United States, sending its shares down as much as 8 percent."
"Dropbox tops revenue, profit estimates on higher subscriber additions",Nov 07 2019,"Dropbox Inc  beat analysts' estimates for third-quarter revenue and profit on Thursday, as the online file hosting company signed up more individual and business customers to its platform."
Court approves procedures for auctioning Weinstein Co,Apr 06 2018,"A U.S. bankruptcy judge approved on Friday procedures for auctioning the film studio co-founded by Harvey Weinstein, who was fired by the company last year in the wake of allegations of sexual assault."
Exclusive: China buys U.S. soybeans a day after trade talks - traders,Feb 01 2019,"Chinese state-owned firms bought at least 1 million tonnes of U.S. soybeans on Friday, a day after high-level bilateral talks yielded progress toward a trade deal and a Chinese commitment to buy more U.S. soybeans."
Microsoft granted license to export 'mass-market' software to Huawei,Nov 21 2019,Microsoft Corp  said on Thursday it had been granted a license from the U.S. government to export software to Huawei Technologies Co Ltd.
Senate Democrats seek Fed probe into Deutsche Bank and Trump,Jun 06 2019,A group of U.S. Senate Democrats is urging the Federal Reserve to investigate Deutsche Bank AG's relationship with President Donald Trump and his son-in-law and adviser Jared Kushner.
Amazon holds talks with workers in Poland as strike threatened,May 10 2019,"Amazon said on Friday it was in talks with employees in Poland after unions threatened strike action, seeking higher pay in distribution centres."
Trade worries extend equities' slide into new quarter,Jul 02 2018,"The worst start to a year for world shares since 2010 continued into the third quarter on Monday, with another slump in Chinese shares and weakening global factory surveys leading global equity markets lower."
Manager at Turkish jet operator told authorities he helped Ghosn escape because of threats: newspaper,Jan 04 2020,"A manager at Turkish jet operator MNG Jet has told authorities that he assisted unwittingly in the escape of ex-Nissan boss Carlos Ghosn from Japan because he had been threatened by a former acquaintance, Hurriyet newspaper reported on Saturday."
"As trade war pinches China, it opens doors wide for foreign money",Sep 11 2019,"As the Sino-U.S. trade war drags on, Beijing is throwing its door wide open to foreign investors as concerns grow over declining exports, capital flight and persistent yuan weakness."
Lyft buys digital car-top advertising startup Halo Cars,Feb 21 2020,"Lyft Inc has bought U.S.-based startup Halo Cars, which allows drivers to make money through digital advertisements displayed on top of their vehicles."
Cathay Pacific in talks to buy stake in HNA's HK Express Airways,Mar 05 2019,"Hong Kong flagship carrier Cathay Pacific Airways Ltd said on Tuesday it is in ""active discussions"" about an acquisition involving budget airline Hong Kong Express Airways Ltd, although an agreement has yet to be reached."
Viacom sets Netflix deal that augurs future strategy,Nov 16 2018,"Viacom Inc  on Friday announced a multi-picture deal with Netflix , and promised to make more films and TV shows for other companies, further signaling that it will not directly take on big tech rivals that stream to consumers and will instead supply them with content."
Nike posts surprise loss as COVID-19 hits wholesale business,Jun 26 2020,Nike Inc  on Thursday reported an unexpected quarterly loss - its first in more than two years - hurt by closures of department and retail stores due to lockdowns spurred by the COVID-19 pandemic.
